event_name,event_date,venue_name,venue_location,longitude,latitude
The Living Tombstone (16 & Over),2025-10-07,New York,New York,-73.989098000,40.731602000
DJ Shu-G,2025-04-25,New York,New York,-74.0050445,40.7284733
Louie Vega & The Elements of Life - Birthday Celebration ft. Special Guests,2025-06-07,New York,New York,-73.987331,40.759649
Goose @ MSG After-Party with Rivka Ruth and Friends,2025-06-28,New York,New York,-73.9903775,40.7442495
Of the Sun,2025-05-23,New York,New York,-73.9840245,40.7258559
ELECTROSEXUAL,2025-04-26,New York,New York,-73.9840245,40.7258559
Clubotomy 003,2025-05-17,New York,New York,-73.9840245,40.7258559
Midnight Magic,2025-05-23,New York,New York,-73.9840245,40.7258559
Sungazer Plus,2025-07-01,New York,New York,-74.000650,40.730940
Sungazer Plus,2025-07-01,New York,New York,-74.000650,40.730940
